GPS,Epoch Time,x,y,z
GPS22,2009-06-30 22:00:00,-10826685.791839734,10086781.771661067,22193123.724004373
GPS23,2009-06-30,-18121790.37698518,15367563.034003137,12095550.886034183
GPS23,2009-06-30 02:00:00,-24574132.438177377,-4022369.242152596,-9686428.152003948
GPS23,2009-06-30 04:00:00,-11549472.132445725,-15253826.701294307,-18537116.91602996
GPS23,2009-06-30 06:00:00,-25955862.343070988,-594452.3549114809,-6340611.939414562
GPS23,2009-06-30 08:00:00,2233548.546012013,-20637111.767137986,-16574127.003136959
GPS23,2009-06-30 10:00:00,619728.744500506,21791411.238623925,15095654.016514758
GPS23,2009-06-30 12:00:00,16551435.07229308,-17191500.595934495,-11488107.971490927
GPS23,2009-06-30 14:00:00,-6204315.229348492,18198122.16444526,18330340.793568134
GPS23,2009-06-30 16:00:00,833695.6285161562,16769609.91086034,20547385.495193448
GPS23,2009-06-30 18:00:00,14903135.314111367,11528285.387684159,18548663.690821227
GPS23,2009-06-30 20:00:00,-1869017.4263871417,14662137.371315664,22035807.721142784
GPS23,2009-06-30 21:59:44,16624381.160518646,-11848025.280269392,-16881928.662913714
GPS23,2009-06-30 23:00:00,25887035.17691529,2021270.4908229846,4731084.777794115
GPS23,2009-06-30 23:59:44,10329223.609999694,15655496.551612517,18679216.864347808
GPS24,2009-06-30,-19356938.09690794,4012392.856493028,17960668.93360845
GPS24,2009-06-30 02:00:00,26330.08953781827,-22898683.60204175,13381622.936732393
GPS24,2009-06-30 03:59:44,-18678188.795393515,8477982.952860218,17142178.805950448
GPS24,2009-06-30 04:00:00,4617782.88336642,18030138.089747768,-18915017.09123731
GPS24,2009-06-30 05:59:44,-6170908.446926845,24304018.97231696,-9007085.099044966
GPS24,2009-06-30 08:00:00,-17857987.320283778,9590815.94764752,17421558.83066203
GPS24,2009-06-30 10:00:00,14974039.99908914,649391.9451494636,-21771355.51462032
GPS24,2009-06-30 12:00:00,-14224779.088855699,6358747.253108786,21695027.359017488
GPS24,2009-06-30 14:00:00,-14361730.6270223,17169542.19164426,14623160.643345527
GPS24,2009-06-30 15:59:44,14077148.147953508,657643.044796922,-22359452.548133355
GPS24,2009-06-30 16:00:00,-358039.7012200165,22868628.02738542,-13598437.496619878
GPS24,2009-06-30 17:59:44,3535944.64093695,-24330963.130104173,9836764.0011605
GPS24,2009-06-30 20:00:00,13986022.547925288,12807786.68732723,-18532807.64528808
GPS24,2009-06-30 22:00:00,9124571.713636074,22891492.767579142,-10043251.71507732
GPS25,2009-06-30,-1181994.8081184267,20823433.13633388,16595511.846413564
GPS25,2009-06-30 02:00:00,4749716.304417082,-250022.93573810603,26425269.3958352
GPS25,2009-06-30 04:00:00,-10066676.91109885,23646672.89708652,6572694.148471631
GPS25,2009-06-30 05:59:44,12676457.980798613,-23004099.459105868,4890614.655147986
GPS25,2009-06-30 06:00:00,12389263.35821266,-23350671.724973362,3799132.550202814
GPS25,2009-06-30 07:59:44,-7037547.6905484665,22873520.614805594,-10985583.156306773
GPS25,2009-06-30 10:00:00,-12962278.201016862,-3310993.4576873863,-22633973.37611731
GPS25,2009-06-30 12:00:00,4469598.387823208,22845536.254704364,12943794.169584822
GPS25,2009-06-30 14:00:00,-12083591.2580052,23227958.405418083,4092495.12146479
GPS25,2009-06-30 16:00:00,-1505671.3951883102,19552322.69434878,18127745.971820477
GPS25,2009-06-30 18:00:00,-9675061.923798554,-5266402.124753071,-23862055.36674418
GPS25,2009-06-30 20:00:00,6333079.012470567,-25593579.624407403,4299510.5683717
GPS25,2009-06-30 22:00:00,-4094470.852467911,26113543.202374566,-722457.7014572661
GPS26,2009-06-30,-24785657.031548463,7173096.35139237,4527909.368085276
GPS26,2009-06-30 02:00:00,26177790.29731672,-5556861.100800014,1543526.3807248406
GPS26,2009-06-30 04:00:00,4142701.3966648323,18718021.183120627,17670440.01801153
GPS26,2009-06-30 06:00:00,11041922.278672434,16357632.063729843,17047520.01078564
GPS26,2009-06-30 08:00:00,-21935777.31286993,1310325.8554723167,-15214639.303544102
GPS26,2009-06-30 10:00:00,22690359.085469045,-14341518.096834578,-1561171.5912485027
